attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,total_duration,total_length,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,calculated_total_cost
A00001,ret,1,CAR,99.37543,62.86666666666667,,,,,,,,,,,,,,,,,,,,,,,,,62.86666666666667,99.37543,,,,,,,,,,19080.08256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19080.08256,42.23455774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.23455774999999
A00002,ret,1,BICYCLE,54.89593,187.36666666666667,,,,,,,,,,,,,,,,,,,,,,,,,187.36666666666667,54.89593,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00003,ret,1,BICYCLE,19.73284,71.15,,,,,,,,,,,,,,,,,,,,,,,,,71.15,19.73284,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00004,ret,1,BICYCLE,41.54655,148.08333333333334,,,,,,,,,,,,,,,,,,,,,,,,,148.08333333333334,41.54655,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00005,ret,1,CAR,154.03695000000002,100.3,,,,,,,,,,,,,,,,,,,,,,,,,100.3,154.03695000000002,,,,,,,,,,29575.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29575.0944,65.46570375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.46570375
A00006,ret,1,BICYCLE,12.514209999999999,44.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,44.233333333333334,12.514209999999999,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00007,ret,1,BICYCLE,50.37848,175.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,175.06666666666666,50.37848,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00008,ret,1,BICYCLE,31.03838,109.35,,,,,,,,,,,,,,,,,,,,,,,,,109.35,31.03838,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00009,ret,1,BICYCLE,39.47183999999999,138.26666666666668,,,,,,,,,,,,,,,,,,,,,,,,,138.26666666666668,39.47183999999999,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00010,ret,1,BICYCLE,68.96316,239.85,,,,,,,,,,,,,,,,,,,,,,,,,239.85,68.96316,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00011,ret,1,BICYCLE,28.99746,103.15,,,,,,,,,,,,,,,,,,,,,,,,,103.15,28.99746,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00012,ret,1,BICYCLE,25.88246,91.28333333333333,,,,,,,,,,,,,,,,,,,,,,,,,91.28333333333333,25.88246,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00013,ret,1,BICYCLE,18.966849999999997,66.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,66.08333333333333,18.966849999999997,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00015,ret,1,BICYCLE,31.543580000000002,109.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,109.03333333333333,31.543580000000002,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00016,ret,1,CAR,77.42974000000001,52.8,,,,,,,,,,,,,,,,,,,,,,,,,52.8,77.42974000000001,,,,,,,,,,14866.510080000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14866.510080000002,32.9076395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9076395
