attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,total_duration,total_length,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00023,dep,1,BICYCLE,21.60734,75.16666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.16666666666667,21.60734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00024,dep,1,WALK,13.99586,179.23333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.23333333333332,13.99586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00025,dep,1,BICYCLE,17.170330000000003,60.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.66666666666666,17.170330000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00026,dep,1,BICYCLE,32.62211,115.38333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.38333333333334,32.62211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00027,dep,1,CAR,148.8814,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,148.8814,28585.228800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28585.228800000004,63.274595000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.274595000000005
A00028,dep,1,BICYCLE,23.87036,83.98333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.98333333333333,23.87036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00029,dep,1,CAR,179.00499,114.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.73333333333332,179.00499,34368.95808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34368.95808,76.07712074999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.07712074999999
A00030,dep,1,WALK,2.64544,33.46666666666667,BUS,19.56982,28.0,WALK,0.24378,3.6,RAIL,61.79498,43.0,WALK,0.28318,3.783333333333333,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,,,,,,,165.16666666666669,113.11097,0.0,2054.8311,0.0,2533.59418,0.0,895.1001100000001,0.0,489.1971000000001,0.0,0.0,0.0,0.0,0.0,5972.72249,0.0,3.913964,0.0,9.269247,0.0,3.2747565,0.0,0.9318040000000002,0.0,0.0,0.0,0.0,0.0,17.3897715
A00031,dep,1,BICYCLE,27.32742,97.88333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.88333333333334,27.32742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00032,dep,1,WALK,3.84856,49.43333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.43333333333333,3.84856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
