Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_time_metrics,min_realistic_metrics,min_cost_metrics,min_leg_metrics,min_carbon_metrics
total_carbon_footprint,247340311.03725,min_carbon_metrics,310620158.30631,min_time_metrics,274287995.2469019,21170873.35873753,310620158.30631,281662832.38331974,265902089.49125,265914585.01638,247340311.03725
avg_carbon_footprint,12512.789550121415,min_carbon_metrics,15714.076911332524,min_time_metrics,13876.055812561439,1071.021063324608,15714.076911332524,14249.144148495963,13451.818156080844,13452.450296776446,12512.789550121415
total_cost,322397.5105025,min_cost_metrics,376334.5234263,min_time_metrics,339555.5258808403,19877.542027527015,376334.5234263,342302.5067284015,322397.5105025,322422.49215410004,334320.5965929
avg_cost,16.309885693453737,min_cost_metrics,19.038524987418423,min_time_metrics,17.177898815239555,1.0055922511016853,19.038524987418423,17.31686683504839,16.309885693453737,16.311149499372693,16.913067060904538
total_travel_time,1128117.2166666668,min_time_metrics,2167214.1333333333,min_cost_metrics,1803559.6433333345,380003.94544711476,1128117.2166666668,1783304.6833333396,2167214.1333333333,2167079.7333333334,1772082.4500000002
avg_travel_time,57.07073489485844,min_time_metrics,109.63798924132814,min_cost_metrics,91.24093910726637,19.224158721460753,57.07073489485844,90.21625352017703,109.63798924132814,109.63119003052223,89.64852784944605
total_legs,20173.0,min_leg_metrics,27404.0,min_carbon_metrics,21705.6,2852.5912150183735,20215.0,20549.0,20187.0,20173.0,27404.0
avg_legs_per_attendee,1.0205392826427886,min_leg_metrics,1.3863509890221075,min_carbon_metrics,1.0980725451510094,0.1443107813536891,1.0226640360196286,1.0395608843021198,1.021247533768402,1.0205392826427886,1.3863509890221075
direct_mode_WALK_count,50.0,min_time_metrics,6293.0,min_cost_metrics,3490.8,2638.604737356469,50.0,3982.0,6293.0,6291.0,838.0
direct_mode_WALK_proportion,0.0025294683057621,min_time_metrics,0.3183588809632215,min_cost_metrics,0.17659735923508874,0.1334853410915399,0.0025294683057621,0.2014468558708959,0.3183588809632215,0.318257702230991,0.0423938888045732
direct_mode_BICYCLE_count,141.0,min_time_metrics,11122.0,min_carbon_metrics,4848.0,3581.6598945181827,141.0,3229.0,4874.0,4874.0,11122.0
direct_mode_BICYCLE_proportion,0.0071331006222492,min_time_metrics,0.5626549299337279,min_carbon_metrics,0.24525724692669598,0.18119390370406144,0.0071331006222492,0.1633530631861182,0.2465725704456923,0.2465725704456923,0.5626549299337279
direct_mode_CAR_count,7807.0,min_carbon_metrics,19576.0,min_time_metrics,11428.2,4399.040549938134,19576.0,12556.0,8600.0,8602.0,7807.0
direct_mode_CAR_proportion,0.3949511812616988,min_carbon_metrics,0.9903374310719888,min_time_metrics,0.5781453938382153,0.22254467293661837,0.9903374310719888,0.6352000809429857,0.4350685485910862,0.4351697273233166,0.3949511812616988
transit_mode_TRAM_count,0.0,min_time_metrics,0.0,min_time_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_TRAM_proportion,0.0,min_time_metrics,0.0,min_time_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_SUBWAY_count,0.0,min_time_metrics,3.0,min_carbon_metrics,0.6,1.2,0.0,0.0,0.0,0.0,3.0
transit_mode_SUBWAY_proportion,0.0,min_time_metrics,0.0001517680983457,min_carbon_metrics,3.035361966914e-05,6.070723933828e-05,0.0,0.0,0.0,0.0,0.0001517680983457
transit_mode_BUS_count,43.0,min_leg_metrics,838.0,min_carbon_metrics,226.8,308.67160543205136,50.0,158.0,45.0,43.0,838.0
transit_mode_BUS_proportion,0.0021753427429554,min_leg_metrics,0.0423938888045732,min_carbon_metrics,0.011473668234936979,0.015615500856581725,0.0025294683057621,0.0079931198462083,0.0022765214751859,0.0021753427429554,0.0423938888045732
transit_mode_RAIL_count,43.0,min_leg_metrics,837.0,min_carbon_metrics,207.6,314.7891993064565,50.0,64.0,44.0,43.0,837.0
transit_mode_RAIL_proportion,0.0021753427429554,min_leg_metrics,0.042343299438458,min_carbon_metrics,0.01050235240552432,0.015924986052838395,0.0025294683057621,0.0032377194313755,0.0022259321090706,0.0021753427429554,0.042343299438458
