road,direction,mode,total_uses,00:00–01:00,01:00–02:00,03:00–04:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Johannes Voetstraat,return,WALK,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Overijsselseweg,departure,CAR,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Spoorstraat,return,CAR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Nieuwe Postweg,departure,CAR,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Genneperweg,return,WALK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Gestelsestraat,return,WALK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
F2,return,BICYCLE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bokhamerstraat,return,BICYCLE,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ring Rotterdam,departure,CAR,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Hogeweg,departure,CAR,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Eendrachtweg,departure,CAR,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Hogeweg,return,CAR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Eendrachtweg,return,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
N286,return,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Berenkuil,return,WALK,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mauritsstraat,return,WALK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
A37,departure,CAR,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Oude Spoorbaan,return,BICYCLE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sint Claralaan,return,BICYCLE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rondje Eindhoven - Aanrijdroute Zuid,return,BICYCLE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Graaf Engelbertlaan,departure,CAR,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Franklin Rooseveltlaan,departure,CAR,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Professor Holstlaan,return,BICYCLE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bayeuxlaan,return,BICYCLE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Havenweg,departure,CAR,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Hasselterweg,return,CAR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Westenholterallee,return,CAR,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zwolseweg,return,CAR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Blixemboschpad,return,WALK,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Voort,return,WALK,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Oude Bosscheweg,return,BICYCLE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Steenweg,return,BICYCLE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Prinses Julianastraat,return,BICYCLE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Europalaan,departure,CAR,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
van Heemstraweg-west,return,BICYCLE,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Udenhoutseweg,return,BICYCLE,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stationsstraat,departure,CAR,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
Floralaan West,return,BICYCLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Dorpstraat,return,BICYCLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Boschhoven,return,BICYCLE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Herselseweg,departure,BICYCLE,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Mierloseweg,departure,BICYCLE,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Stationshal,departure,WALK,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Piushaven,departure,BICYCLE,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Schouwburgring,departure,BICYCLE,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Almeloseweg,departure,CAR,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
Hoevenseweg,departure,BICYCLE,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Voort,departure,WALK,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Blixemboschpad,departure,WALK,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Kapelweg,departure,WALK,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Zessprong,departure,WALK,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Sint Antoniusweg,departure,WALK,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Molenkade,departure,CAR,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Westenholterallee,departure,CAR,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
Julianaweg,departure,CAR,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Anthony Fokkerweg,return,CAR,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Burgemeester Wynoldyweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Koningin Wilhelminalaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Oenerweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Neushoornstraat,return,WALK,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrus Dondersstraat,return,WALK,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diepmeerven,return,WALK,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sint Bonifaciuslaan,return,WALK,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genoenhuis,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Beneluxweg,departure,CAR,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Van Helomaweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Cahorslaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stadsweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Eindhovensedijk,return,WALK,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Schans,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Jaagweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Nieuwe Leeuwarderweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Midden Broekermeerweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Slochterweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Monnickendammerjaagweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Tiendweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bayeuxlaan,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Nijverheidsweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
N286,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Professor Holstlaan,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
N247,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oostdijk,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oude Rijksweg,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gagel,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gijzenrooiseweg,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Stad van Gerwen,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nieuwe Dijk,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Damocleslaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Argonautenlaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eckartse Beukenlaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zwartsluizerweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Terborgseweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Veneweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zwartsluiserweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Het Singel,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Blauwehandseweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Hasselterdijk,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Beulakerweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
N331,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
N334,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Zomerdijk,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Soeterbeekseweg,return,WALK,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demer,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rechtestraat,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stratumsedijk,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stratumseind,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Piazza,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tempellaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Park Forum,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Joe Mannweg,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antwerpseweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Roffart,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Locatellistraat,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lardinoisstraat,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Molenstraat,departure,CAR,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Woestenbergseweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Sint Annadreef,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Royaaldreef,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Gilzeweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Willem de Zwijgerweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Nazarethplein,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Melpomenestraat,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wolvendijk,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
't Hofke,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Generaal Stedmanstraat,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wasvenpad,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Koudenhovenseweg Zuid,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
van Oldenbarneveltlaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Generaal Marshallweg,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Generaal Dibbetslaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Generaal Linckerslaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rondje Eindhoven - Aanrijdroute Noord,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Generaal Pattonlaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aeneaslaan,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nieuweweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CG Roosweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Peckiuslaan,return,WALK,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Strijpsebaan,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
N351,departure,CAR,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
N310,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Raadhuisstraat,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Paul Scholtenweg,return,WALK,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Koningsweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Franklin D Rooseveltlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
N48,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pater L.A. Bleysstraat,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eindhovenseweg,return,WALK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Buitendreef,return,WALK,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laagte,return,WALK,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spaaihoefweg,return,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Stadsrondweg-Zuid,departure,CAR,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Westergoawei,departure,CAR,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Sudergoawei,departure,CAR,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Asserstraat,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Zandkasteel,return,WALK,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Markeloseweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
N340,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Nieuwe Hessenweg,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Varsenerdijk,departure,CAR,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Berenkuil,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Julianastraat,departure,WALK,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Anna van Engelandstraat,departure,WALK,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Karel de Grotelaan,departure,WALK,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Hagenkampweg Noord,departure,WALK,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Petrus Dondersstraat,departure,WALK,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Diepmeerven,departure,WALK,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Sint Bonifaciuslaan,departure,WALK,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Neushoornstraat,departure,WALK,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rik Woutersweg,departure,WALK,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rielsedijk,departure,WALK,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Genoenhuis,departure,WALK,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Schoolstraat,departure,WALK,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Borgerveldweg,departure,WALK,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Cahorslaan,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Van Veldekekade,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Jacob Catsstraat,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Merwedelaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Gestelseweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Mauritsstraat,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Onze Lieve Vrouwestraat,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Kaarderstraat,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Kaakstraat,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Eindhovensedijk,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Gestelsestraat,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Genneperweg,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oude Rijksweg,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Eckartse Beukenlaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Gagel,departure,WALK,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Provincialeweg,departure,WALK,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Stratumsedijk,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Stratumseind,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Piazza,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Soeterbeekseweg,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Stad van Gerwen,departure,WALK,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Nieuwe Dijk,departure,WALK,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Damocleslaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Argonautenlaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Oosteinde,departure,CAR,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sportlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Jan van Brabantlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Lardinoisstraat,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Demer,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rechtestraat,departure,WALK,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Uiverlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Ondernemingenweg,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Wolfsputter Baan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Wethouder Ebbenlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Rembrandtlaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Joe Mannweg,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Roffart,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Locatellistraat,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Koudenhovenseweg Zuid,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
van Oldenbarneveltlaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Generaal Marshallweg,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Generaal Dibbetslaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Generaal Linckerslaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Rondje Eindhoven - Aanrijdroute Noord,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Generaal Pattonlaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Aeneaslaan,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Melpomenestraat,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Wolvendijk,departure,WALK,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Julianalaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Oostende,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Boerhaavelaan,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Nieuwe Fellenoord,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Gildelaan,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Strijpsebaan,departure,WALK,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
't Hofke,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Generaal Stedmanstraat,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Wasvenpad,departure,WALK,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Paul Scholtenweg,departure,WALK,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Pandijk,departure,CAR,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Euvelwegen,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Oostrikkerstraat,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Noord Brabantlaan,departure,WALK,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Peckiuslaan,departure,WALK,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
N61,departure,CAR,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Pater L.A. Bleysstraat,departure,WALK,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
