road,direction,mode,total_uses,00:00–01:00,01:00–02:00,03:00–04:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Terraweg,return,BICYCLE,43,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19
A28,departure,CAR,43,0,0,0,0,0,0,0,2,10,13,7,2,4,3,1,1,0,0,0,0
E232,departure,CAR,42,0,0,0,0,0,0,0,2,10,13,6,2,4,3,1,1,0,0,0,0
Terraweg,departure,BICYCLE,42,0,0,0,0,0,0,2,4,9,7,10,4,3,1,1,0,1,0,0,0
E30,departure,CAR,41,0,0,0,0,0,0,0,3,4,7,10,4,6,6,1,0,0,0,0,0
Terraweg,departure,WALK,40,0,0,0,0,0,0,0,1,4,8,10,4,7,2,1,1,2,0,0,0
Eindhovenseweg,return,BICYCLE,39,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
Rondje Eindhoven - Hoofdroute,departure,WALK,38,0,0,0,0,0,1,2,5,8,5,8,5,1,0,2,1,0,0,0,0
E30,return,CAR,38,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
Eindhovenseweg,departure,BICYCLE,37,0,0,0,0,0,0,2,4,7,5,9,4,4,1,1,0,0,0,0,0
Science Park Eindhoven,departure,WALK,37,0,0,0,0,0,0,0,0,1,6,9,12,3,2,3,1,0,0,0,0
Fransebaan,return,WALK,36,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
Perron F,departure,WALK,36,0,0,0,0,0,0,0,0,3,10,11,6,3,1,1,1,0,0,0,0
A28,return,CAR,35,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Spoor 1,departure,WALK,34,0,0,0,0,0,0,1,0,3,8,10,6,3,1,1,1,0,0,0,0
EuroVelo 4 - Centraal-Europaroute - deel Nederland,return,BICYCLE,34,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
E232,return,CAR,33,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
E35,departure,CAR,33,0,0,0,0,0,0,0,2,5,7,7,5,4,1,2,0,0,0,0,0
Cotentinlaan,return,WALK,33,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Rondje Eindhoven - Hoofdroute,departure,BICYCLE,33,0,0,0,0,0,0,0,2,5,8,6,3,2,3,2,1,1,0,0,0
Auvergnelaan,return,WALK,32,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Oude Bossche Baan,return,WALK,32,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,return,BICYCLE,32,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
Savoiepad,return,WALK,32,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Correzelaan,return,WALK,32,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20
Kanaaldijk,departure,BICYCLE,30,0,0,0,0,0,0,1,1,3,7,9,3,3,3,0,0,0,0,0,0
Terraweg,return,WALK,30,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
de Dieze,return,CAR,30,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18
Kanaalstraat,departure,BICYCLE,30,0,0,0,0,0,0,1,3,2,8,4,3,3,5,1,0,0,0,0,0
Tilburgseweg,departure,CAR,30,0,0,0,0,0,0,0,0,1,3,8,3,4,5,4,1,1,0,0,0
de Dieze,departure,CAR,29,0,0,0,0,0,0,0,0,2,5,5,5,4,2,0,3,2,1,0,0
Spoor 2,departure,WALK,29,0,0,0,0,0,0,0,1,1,6,9,5,2,1,1,1,2,0,0,0
Bataweg,return,CAR,29,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Kanaaldijk,return,BICYCLE,29,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Fransebaan,departure,WALK,29,0,0,0,0,0,1,2,3,6,3,5,5,1,0,2,1,0,0,0,0
Tilburgseweg,return,CAR,29,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16
E311,departure,CAR,29,0,0,0,0,0,0,0,1,3,7,5,4,5,3,1,0,0,0,0,0
Erica,departure,CAR,28,0,0,0,0,0,0,0,0,2,5,5,5,4,2,0,3,2,0,0,0
Ringweg,return,CAR,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Bataweg,departure,CAR,28,0,0,0,0,0,0,0,0,2,5,5,5,4,2,0,3,2,0,0,0
Erica,return,CAR,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
E312,departure,CAR,28,0,0,0,0,0,0,0,0,2,5,5,5,4,2,0,3,2,0,0,0
18,departure,WALK,28,0,0,0,0,0,0,0,2,7,7,5,3,1,0,1,2,0,0,0,0
A58,departure,CAR,28,0,0,0,0,0,0,0,0,2,5,5,5,4,2,0,3,2,0,0,0
Ring Eindhoven,return,CAR,28,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
A58,return,CAR,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
E312,return,CAR,28,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Postkoetsweg,return,CAR,28,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
E311,return,CAR,27,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Europalaan,departure,BICYCLE,27,0,0,0,0,0,0,0,2,4,7,4,3,2,3,1,1,0,0,0,0
Onze Lieve Vrouwestraat,departure,CAR,27,0,0,0,0,0,0,0,0,0,2,6,8,3,2,0,3,3,0,0,0
Pastoriestraat,departure,CAR,27,0,0,0,0,0,0,0,0,0,2,6,8,3,2,0,3,3,0,0,0
Kronehoefstraat,departure,CAR,27,0,0,0,0,0,0,0,0,0,2,6,8,3,2,0,3,3,0,0,0
A15,return,CAR,27,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Poot van Metz,return,CAR,27,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
Provincialeweg,return,CAR,27,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Bataweg,return,BICYCLE,26,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
de Dieze,return,BICYCLE,26,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
Cotentinlaan,departure,WALK,26,0,0,0,0,0,1,2,3,6,2,3,5,1,0,2,1,0,0,0,0
Poot van Metz,departure,CAR,26,0,0,0,0,0,0,0,0,1,2,8,3,3,4,3,1,1,0,0,0
E35,return,CAR,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13
Auvergnelaan,departure,WALK,25,0,0,0,0,0,1,2,3,6,2,3,4,1,0,2,1,0,0,0,0
Rondje Eindhoven - Hoofdroute,return,BICYCLE,25,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Correzelaan,departure,WALK,25,0,0,0,0,0,1,2,3,6,2,3,4,1,0,2,1,0,0,0,0
Ring Tilburg,return,CAR,25,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
corridor,departure,WALK,25,0,0,0,0,0,0,0,2,5,7,4,3,1,0,1,2,0,0,0,0
Savoiepad,departure,WALK,25,0,0,0,0,0,1,2,3,6,2,3,4,1,0,2,1,0,0,0,0
Bataweg,departure,BICYCLE,25,0,0,0,0,0,0,1,0,4,6,8,2,2,0,1,0,1,0,0,0
8,departure,WALK,25,0,0,0,0,0,0,0,2,5,7,4,3,1,0,1,2,0,0,0,0
12,departure,WALK,25,0,0,0,0,0,0,0,2,5,7,4,3,1,0,1,2,0,0,0,0
de Dieze,departure,BICYCLE,25,0,0,0,0,0,0,1,0,4,6,8,2,2,0,1,0,1,0,0,0
9,departure,WALK,25,0,0,0,0,0,0,0,2,5,7,4,3,1,0,1,2,0,0,0,0
11,departure,WALK,25,0,0,0,0,0,0,0,2,5,7,4,3,1,0,1,2,0,0,0,0
Oude Bossche Baan,departure,BICYCLE,25,0,0,0,0,0,0,0,2,4,6,5,2,2,3,1,0,0,0,0,0
Oude Bossche Baan,departure,WALK,25,0,0,0,0,0,1,2,3,6,2,3,4,1,0,2,1,0,0,0,0
Insulindelaan,departure,CAR,25,0,0,0,0,0,0,0,0,0,2,6,6,3,2,0,3,3,0,0,0
Kruisstraat,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
Woenselse Markt,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
Kanaalstraat,return,BICYCLE,24,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Kloosterdreef,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
Europalaan,return,BICYCLE,24,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Kruisstraattunnel,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
Kronehoefstraat,return,CAR,24,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
Ring Tilburg,departure,CAR,24,0,0,0,0,0,0,0,0,2,4,4,5,3,1,0,3,2,0,0,0
Onze Lieve Vrouwestraat,return,CAR,24,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
Pastoriestraat,return,CAR,24,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
Fellenoordpad,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
Doctor Berlagelaan,departure,BICYCLE,24,0,0,0,0,0,0,0,2,4,6,4,2,2,3,1,0,0,0,0,0
E19,return,CAR,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
A16,return,CAR,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
Provincialeweg,departure,CAR,23,0,0,0,0,0,0,0,1,6,4,8,0,1,2,1,0,0,0,0,0
Insulindeplein,return,CAR,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
Insulindelaan,return,CAR,23,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
Ring Utrecht,departure,CAR,23,0,0,0,0,0,0,0,1,3,4,4,2,5,3,1,0,0,0,0,0
E22,departure,CAR,22,0,0,0,0,0,0,0,4,2,3,2,5,2,1,3,0,0,0,0,0
Ring Utrecht,return,CAR,22,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
A15,departure,CAR,21,0,0,0,0,0,0,0,1,4,5,6,0,3,1,1,0,0,0,0,0
Doctor Berlagelaan,return,WALK,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
Eindhovenseweg-Zuid,departure,WALK,20,0,0,0,0,0,0,0,1,1,3,4,2,4,2,1,0,2,0,0,0
De Rijt,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Dijkpad,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Moorland,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
Heersdijk,departure,BICYCLE,20,0,0,0,0,0,0,1,0,3,5,7,2,2,0,0,0,0,0,0,0
