attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00028,ret,1,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,WALK,0.17661000000000002,2.683333333333333,RAIL,87.86362,49.0,WALK,0.39637,5.683333333333334,RAIL,47.281279999999995,27.0,WALK,0.10947,1.6,BUS,11.48362,16.0,WALK,3.47604,43.95,,,,,,,,,,,,,238.26666666666665,242.45321999999996
A00028,ret,2,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.3326,4.85,RAIL,10.23582,10.0,RAIL,107.52636,69.0,RAIL,65.2837,54.0,RAIL,139.61445999999998,94.0,RAIL,19.98045,11.0,WALK,0.10947,1.6,BUS,11.48362,16.0,WALK,3.47604,43.95,,,,,,,,,,,,,339.2,364.57643999999993
A00028,ret,3,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,RAIL,56.62195,45.0,WALK,0.07141,1.8166666666666667,RAIL,139.61445999999998,94.0,RAIL,19.98045,11.0,WALK,0.10947,1.6,BUS,11.48362,16.0,WALK,3.47604,43.95,,,,,,,,,,,,,305.71666666666664,323.02360999999996
A00028,ret,1,CAR,199.46781,131.81666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.81666666666666,199.46781
A00029,ret,1,BICYCLE,41.67792,146.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.15,41.67792
A00029,ret,1,CAR,43.881029999999996,31.133333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.133333333333333,43.881029999999996
A00030,ret,1,WALK,9.66399,122.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.83333333333333,9.66399
A00030,ret,1,BICYCLE,10.14997,35.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.21666666666667,10.14997
A00030,ret,1,CAR,11.23513,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.75,11.23513
A00031,ret,1,WALK,10.77323,137.98333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.98333333333332,10.77323
A00031,ret,2,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.31376,4.5,RAIL,10.246120000000001,9.0,WALK,2.34838,30.533333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.83333333333333,19.44218
A00031,ret,1,BICYCLE,11.58418,43.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15,11.58418
A00031,ret,1,CAR,12.523,13.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.066666666666666,12.523
A00032,ret,1,WALK,2.12896,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,2.12896
A00032,ret,1,BICYCLE,2.87121,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,2.87121
A00032,ret,1,CAR,2.75185,3.933333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.933333333333333,2.75185
A00033,ret,1,WALK,3.34556,43.016666666666666,BUS,0.47482,1.0,WALK,1.32025,17.816666666666666,RAIL,17.90115,13.0,WALK,0.41237999999999997,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.28333333333333,23.45416
A00033,ret,2,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,32.07784,18.0,WALK,0.19363999999999998,3.2,RAIL,3.93056,4.0,WALK,0.53619,8.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,79.61666666666666,48.40148
A00033,ret,1,BICYCLE,23.96436,84.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.65,23.96436
A00033,ret,1,CAR,22.13048,18.233333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.233333333333334,22.13048
A00034,ret,1,CAR,238.44265,148.48333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.48333333333332,238.44265
A00035,ret,1,BICYCLE,18.14504,63.983333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.983333333333334,18.14504
A00035,ret,1,CAR,21.61898,19.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.666666666666668,21.61898
A00036,ret,1,CAR,238.89337,148.88333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.88333333333333,238.89337
A00037,ret,1,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.31376,4.5,RAIL,10.246120000000001,9.0,WALK,0.40146,5.266666666666667,RAIL,32.07784,18.0,WALK,3.10209,40.81666666666667,,,,,,,,,,,,,,,,,,,,,,,,,112.38333333333333,52.67519
A00037,ret,1,BICYCLE,29.96602,104.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.6,29.96602
A00037,ret,1,CAR,27.919169999999998,21.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15,27.919169999999998
A00038,ret,1,BICYCLE,22.90344,82.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.55,22.90344
A00038,ret,1,CAR,24.72264,26.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.416666666666668,24.72264
A00039,ret,1,CAR,110.72767,74.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.08333333333333,110.72767
A00040,ret,1,CAR,191.46732,117.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.83333333333333,191.46732
A00041,ret,1,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.31376,4.5,RAIL,19.26479,28.0,WALK,2.55927,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,28.671740000000003
A00041,ret,1,BICYCLE,19.3592,69.48333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48333333333333,19.3592
A00041,ret,1,CAR,20.999029999999998,21.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.416666666666668,20.999029999999998
A00042,ret,1,WALK,13.03069,167.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1,13.03069
A00042,ret,1,BICYCLE,15.02635,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,15.02635
A00042,ret,1,CAR,14.78179,17.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.366666666666667,14.78179
A00043,ret,1,CAR,119.62882,76.06666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.06666666666666,119.62882
A00044,ret,1,BICYCLE,24.23303,86.66666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.66666666666667,24.23303
A00044,ret,1,CAR,31.57239,23.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.766666666666666,31.57239
A00045,ret,1,WALK,1.33488,16.983333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.983333333333334,1.33488
A00045,ret,1,BICYCLE,1.46902,5.366666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.366666666666666,1.46902
A00045,ret,1,CAR,8.99875,7.716666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.716666666666667,8.99875
A00046,ret,1,BICYCLE,25.48195,91.56666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.56666666666666,25.48195
A00046,ret,1,CAR,33.78456,26.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.366666666666667,33.78456
A00047,ret,1,BICYCLE,41.73571,147.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4,41.73571
A00047,ret,1,CAR,46.9709,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,46.9709
A00048,ret,1,CAR,74.25824,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1,74.25824
A00049,ret,1,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,WALK,0.41117000000000004,6.116666666666666,BUS,21.23446,36.0,WALK,3.19983,41.38333333333333,,,,,,,,,,,,,,,,,,,,,,,,,175.84999999999997,116.51167000000001
