attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg1_from_lat,leg1_from_lng,leg1_to_lat,leg1_to_lng,leg1_from_scheduledTime,leg1_to_scheduledTime,leg1_roads,leg1_route,total_duration,total_length,leg2_mode,leg2_length,leg2_duration,leg2_from_lat,leg2_from_lng,leg2_to_lat,leg2_to_lng,leg2_from_scheduledTime,leg2_to_scheduledTime,leg2_roads,leg2_route,leg3_mode,leg3_length,leg3_duration,leg3_from_lat,leg3_from_lng,leg3_to_lat,leg3_to_lng,leg3_from_scheduledTime,leg3_to_scheduledTime,leg3_roads,leg3_route,leg4_mode,leg4_length,leg4_duration,leg4_from_lat,leg4_from_lng,leg4_to_lat,leg4_to_lng,leg4_from_scheduledTime,leg4_to_scheduledTime,leg4_roads,leg4_route,leg5_mode,leg5_length,leg5_duration,leg5_from_lat,leg5_from_lng,leg5_to_lat,leg5_to_lng,leg5_from_scheduledTime,leg5_to_scheduledTime,leg5_roads,leg5_route,leg6_mode,leg6_length,leg6_duration,leg6_from_lat,leg6_from_lng,leg6_to_lat,leg6_to_lng,leg6_from_scheduledTime,leg6_to_scheduledTime,leg6_roads,leg6_route,leg7_mode,leg7_length,leg7_duration,leg7_from_lat,leg7_from_lng,leg7_to_lat,leg7_to_lng,leg7_from_scheduledTime,leg7_to_scheduledTime,leg7_roads,leg7_route,leg8_mode,leg8_length,leg8_duration,leg8_from_lat,leg8_from_lng,leg8_to_lat,leg8_to_lng,leg8_from_scheduledTime,leg8_to_scheduledTime,leg8_roads,leg8_route,leg9_mode,leg9_length,leg9_duration,leg9_from_lat,leg9_from_lng,leg9_to_lat,leg9_to_lng,leg9_from_scheduledTime,leg9_to_scheduledTime,leg9_roads,leg9_route,leg10_mode,leg10_length,leg10_duration,leg10_from_lat,leg10_from_lng,leg10_to_lat,leg10_to_lng,leg10_from_scheduledTime,leg10_to_scheduledTime,leg10_roads,leg10_route,leg11_mode,leg11_length,leg11_duration,leg11_from_lat,leg11_from_lng,leg11_to_lat,leg11_to_lng,leg11_from_scheduledTime,leg11_to_scheduledTime,leg11_roads,leg11_route,leg12_mode,leg12_length,leg12_duration,leg12_from_lat,leg12_from_lng,leg12_to_lat,leg12_to_lng,leg12_from_scheduledTime,leg12_to_scheduledTime,leg12_roads,leg12_route,leg13_mode,leg13_length,leg13_duration,leg13_from_lat,leg13_from_lng,leg13_to_lat,leg13_to_lng,leg13_from_scheduledTime,leg13_to_scheduledTime,leg13_roads,leg13_route,leg14_mode,leg14_length,leg14_duration,leg14_from_lat,leg14_from_lng,leg14_to_lat,leg14_to_lng,leg14_from_scheduledTime,leg14_to_scheduledTime,leg14_roads,leg14_route,leg15_mode,leg15_length,leg15_duration,leg15_from_lat,leg15_from_lng,leg15_to_lat,leg15_to_lng,leg15_from_scheduledTime,leg15_to_scheduledTime,leg15_roads,leg15_route
A00007,departure,1,CAR,115.69089,80.61666666666666,52.2076762,4.7562444,51.4998731,5.4332325,2025-05-17T14:21:23+02:00,2025-05-17T15:42:00+02:00,"Molenkade, Nieuwveens Jaagpad, Vrouwenakker, Vrouwenakkerbrug, Amsteldijk-Zuid, Schans, Aan de Molenvliet, Laan van Meerwijk, road, Koningin Máximalaan, Mijdrechtse Zuwe, Ringdijk 2e bedijking, Ringdijk 2e bedijking, road, Mijdrechtse Zuwe, Hofland, Provinciale weg, link, road, ramp, E35, A2, A2, A2, E25, road, A59, Ring 's-Hertogenbosch, Ring 's-Hertogenbosch, A2, Ring 's-Hertogenbosch, E25, A2, E25, Boxtelseweg, A2, E25, Rijksweg, A2, E25, ramp, Eindhovenseweg-Zuid, road, road, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,80.61666666666666,115.69089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00007,return,1,CAR,115.88337,79.61666666666666,51.4998731,5.4332325,52.2076762,4.7562444,2025-05-17T22:55:00+02:00,2025-05-18T00:14:37+02:00,"Ekkersweijer, Terraweg, Eindhovenseweg-Zuid, Eindhovenseweg-Zuid, ramp, A2, E25, Rijksweg, A2, E25, Boxtelseweg, A2, E25, A2, Ring 's-Hertogenbosch, E25, A2, E25, ramp, A2, E25, A2, E35, A2, ramp, Provincialeweg, Provinciale weg, Hofland, Mijdrechtse Zuwe, Mijdrechtse Zuwe, Mijdrechtse Zuwe, road, Ringdijk 2e bedijking, Ringdijk 2e bedijking, Mijdrechtse Zuwe, Koningin Máximalaan, road, Laan van Meerwijk, Aan de Molenvliet, Schans, Amsteldijk-Zuid, Vrouwenakkerbrug, Vrouwenakker, Nieuwveens Jaagpad, Molenkade",,79.61666666666666,115.88337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00008,return,1,CAR,17.0075,15.083333333333334,51.4998731,5.4332325,51.4017692,5.4322802,2025-05-17T00:26:00+02:00,2025-05-17T00:41:05+02:00,"Ekkersweijer, Terraweg, Eindhovenseweg-Zuid, Eindhovenseweg-Zuid, ramp, A2, E25, Boschdijk, Postkoetsweg, Tilburgseweg, Poot van Metz, ramp, Meerveldhovenseweg, Kempenbaan, De Run, Dommelstraat-Zuid, Onze Lieve Vrouwedijk",,15.083333333333334,17.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00008,departure,1,CAR,15.96682,15.483333333333333,51.4017692,5.4322802,51.4998731,5.4332325,2025-05-17T16:12:31+02:00,2025-05-17T16:28:00+02:00,"Onze Lieve Vrouwedijk, Dommelstraat-Zuid, De Run, De Run, Kempenbaan, Meerveldhovenseweg, ramp, Poot van Metz, Tilburgseweg, ramp, Anthony Fokkerweg, road, Boschdijk, Eindhovenseweg-Zuid, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,15.483333333333333,15.96682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00009,return,1,CAR,5.92061,5.85,51.4998731,5.4332325,51.4944764,5.4501427,2025-05-17T23:52:00+02:00,2025-05-17T23:57:51+02:00,"Ekkersweijer, Terraweg, Eindhovenseweg-Zuid, Eindhovenseweg-Zuid, ramp, A2, E25, ramp, John F. Kennedylaan",,5.85,5.92061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00009,departure,1,CAR,8.09008,7.833333333333333,51.4944764,5.4501427,51.4998731,5.4332325,2025-05-17T14:52:10+02:00,2025-05-17T15:00:00+02:00,"John F. Kennedylaan, John F. Kennedylaan, road, John F. Kennedylaan, ramp, A2, E25, ramp, Eindhovenseweg-Zuid, road, road, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,7.833333333333333,8.09008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00010,return,1,CAR,134.83905,88.53333333333333,51.4998731,5.4332325,52.4878154,5.0831375,2025-05-17T00:10:00+02:00,2025-05-17T01:38:32+02:00,"Ekkersweijer, Terraweg, Eindhovenseweg-Zuid, Eindhovenseweg-Zuid, ramp, A2, E25, Rijksweg, A2, E25, Boxtelseweg, A2, E25, A2, Ring 's-Hertogenbosch, E25, A2, E25, ramp, A2, E25, A2, E35, A2, E35, Ringweg-Oost, Ringweg-Noord, ramp, Ringweg-Noord, ramp, Nieuwe Leeuwarderweg, Slochterweg, Midden Broekermeerweg, Middenweg, Jaagweg, Parallelweg, Jaagweg, Molenkade, Jaagweg, Monnickendammerjaagweg, link, Zeddeweg, road, Kathammerzeedijk, Julianaweg, Zuideinde, Slobbeland, service road",,88.53333333333333,134.83905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00010,departure,1,CAR,135.65247,90.33333333333333,52.4878154,5.0831375,51.4998731,5.4332325,2025-05-17T14:26:40+02:00,2025-05-17T15:57:00+02:00,"service road, Slobbeland, Zuideinde, Julianaweg, Kathammerzeedijk, road, Zeddeweg, N247, Monnickendammerjaagweg, Jaagweg, Molenkade, Jaagweg, Parallelweg, Jaagweg, Middenweg, Midden Broekermeerweg, Slochterweg, Nieuwe Leeuwarderweg, ramp, Ringweg-Noord, Ringweg-Oost, E35, E35, A2, A2, A2, E25, road, A59, Ring 's-Hertogenbosch, Ring 's-Hertogenbosch, A2, Ring 's-Hertogenbosch, E25, A2, E25, Boxtelseweg, A2, E25, Rijksweg, A2, E25, ramp, Eindhovenseweg-Zuid, road, road, Eindhovenseweg-Zuid, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,90.33333333333333,135.65247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00011,return,1,CAR,123.1505,91.08333333333333,51.4998731,5.4332325,51.5770527,3.9833385,2025-05-17T23:12:00+02:00,2025-05-18T00:43:05+02:00,"Ekkersweijer, Terraweg, road, de Dieze, road, Bataweg, Erica, Ringweg, ramp, A58, E312, ramp, A58, E312, ramp, A58, E312, A58, E312, Ring Tilburg, Ring Tilburg, ramp, A58, E312, A27, A58, E312, A58, E312, A58, A16, E19, E312, A58, E312, ramp, A58, E312, ramp, A58, E312, Roosendaalseweg, Bredasebaan, Roosendaalsebaan, A58, E312, ramp, A4, ramp, A4, ramp, N286, Eendrachtweg, Nieuwe Postweg, Postweg, N286, Postweg, N286, Poortvlietsedijk, N286, Provincialeweg, Zurenhoekseweg, Hogeweg, Heideweg, service road",,91.08333333333333,123.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A00011,departure,1,CAR,123.37217999999999,92.43333333333334,51.5770527,3.9833385,51.4998731,5.4332325,2025-05-17T14:04:34+02:00,2025-05-17T15:37:00+02:00,"service road, Heideweg, Hogeweg, Zurenhoekseweg, Provincialeweg, N286, Provincialeweg, N286, Nijverheidsweg, N286, Provincialeweg, N286, Poortvlietsedijk, N286, Postweg, N286, Postweg, Nieuwe Postweg, Eendrachtweg, ramp, A4, ramp, A58, E312, Roosendaalsebaan, Bredasebaan, Roosendaalseweg, A58, E312, A58, E312, A58, A16, E19, E312, ramp, A58, A16, E19, E312, A58, E312, A27, A58, E312, A58, E312, ramp, Ring Tilburg, A58, E312, Ring Tilburg, A58, E312, ramp, A58, E312, ramp, Erica, Bataweg, road, de Dieze, road, Terraweg, Ekkersweijer, road, road, Ekkersweijer",,92.43333333333334,123.37217999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
