Category,Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_carbon_metrics,min_cost_metrics,min_leg_metrics,min_realistic_metrics,min_time_metrics
departure,direct_mode_BICYCLE_proportion,0.0204081632653061,min_time_metrics,0.5918367346938775,min_carbon_metrics,0.2571428571428571,0.18808754951010548,0.5918367346938775,0.2551020408163265,0.2551020408163265,0.1632653061224489,0.0204081632653061
departure,direct_mode_CAR_count,4.0,min_carbon_metrics,92.0,min_time_metrics,45.2,28.77081854935657,4.0,37.0,37.0,56.0,92.0
departure,direct_mode_CAR_proportion,0.0408163265306122,min_carbon_metrics,0.9387755102040816,min_time_metrics,0.4612244897959183,0.29357978111588334,0.0408163265306122,0.3775510204081632,0.3775510204081632,0.5714285714285714,0.9387755102040816
departure,transit_mode_TRAM_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
departure,transit_mode_TRAM_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
departure,transit_mode_SUBWAY_count,0.0,min_cost_metrics,1.0,min_carbon_metrics,0.2,0.4000000000000001,1.0,0.0,0.0,0.0,0.0
departure,transit_mode_SUBWAY_proportion,0.0,min_cost_metrics,0.010204081632653,min_carbon_metrics,0.0020408163265306,0.004081632653061199,0.010204081632653,0.0,0.0,0.0,0.0
departure,transit_mode_BUS_count,3.0,min_cost_metrics,36.0,min_carbon_metrics,10.6,12.784365451597509,36.0,3.0,3.0,7.0,4.0
departure,transit_mode_BUS_proportion,0.0306122448979591,min_cost_metrics,0.3673469387755102,min_carbon_metrics,0.10816326530612241,0.13045270868977052,0.3673469387755102,0.0306122448979591,0.0306122448979591,0.0714285714285714,0.0408163265306122
departure,transit_mode_RAIL_count,3.0,min_cost_metrics,36.0,min_carbon_metrics,10.2,12.921300244170475,36.0,3.0,3.0,5.0,4.0
departure,transit_mode_RAIL_proportion,0.0306122448979591,min_cost_metrics,0.3673469387755102,min_carbon_metrics,0.10408163265306118,0.1318500024915355,0.3673469387755102,0.0306122448979591,0.0306122448979591,0.0510204081632653,0.0408163265306122
return,total_carbon_footprint,935588.88058,min_carbon_metrics,1301368.39153,min_time_metrics,1100892.5304120001,120103.85990848602,935588.88058,1062750.34562,1062693.88292,1142061.15141,1301368.39153
return,avg_carbon_footprint,9745.717506041668,min_carbon_metrics,13555.920745104166,min_time_metrics,11467.630525125,1251.081874046729,9745.717506041668,11070.316100208334,11069.727947083333,11896.4703271875,13555.920745104166
return,total_cost,1349.0629217,min_cost_metrics,1636.4479484,min_time_metrics,1448.2419651200003,100.08827092864108,1429.7388925,1349.0629217,1381.3480582,1444.6120048,1636.4479484
return,avg_cost,14.052738767708334,min_cost_metrics,17.046332795833333,min_time_metrics,15.085853803333332,1.042586155506677,14.893113463541669,14.052738767708334,14.389042272916669,15.048041716666669,17.046332795833333
return,total_travel_time,4975.616666666667,min_time_metrics,10413.233333333334,min_leg_metrics,8600.276666666668,1971.2474127538858,8566.883333333333,10329.3,10413.233333333334,8716.350000000004,4975.616666666667
return,avg_travel_time,51.82934027777778,min_time_metrics,108.47118055555556,min_leg_metrics,89.58621527777778,20.53382721618631,89.23836805555555,107.596875,108.47118055555556,90.79531250000004,51.82934027777778
return,total_legs,105.0,min_leg_metrics,152.0,min_carbon_metrics,115.4,18.32593790232849,152.0,108.0,105.0,106.0,106.0
return,avg_legs_per_attendee,1.09375,min_leg_metrics,1.5833333333333333,min_carbon_metrics,1.2020833333333334,0.19089518648258838,1.5833333333333333,1.125,1.09375,1.1041666666666667,1.1041666666666667
return,direct_mode_WALK_count,1.0,min_time_metrics,33.0,min_cost_metrics,19.0,13.371611720357423,6.0,33.0,33.0,22.0,1.0
return,direct_mode_WALK_proportion,0.0104166666666666,min_time_metrics,0.34375,min_cost_metrics,0.19791666666666666,0.13928762208705653,0.0625,0.34375,0.34375,0.2291666666666666,0.0104166666666666
return,direct_mode_BICYCLE_count,2.0,min_time_metrics,58.0,min_carbon_metrics,25.6,18.43474979488466,58.0,26.0,26.0,16.0,2.0
return,direct_mode_BICYCLE_proportion,0.0208333333333333,min_time_metrics,0.6041666666666666,min_carbon_metrics,0.2666666666666666,0.1920286436967152,0.6041666666666666,0.2708333333333333,0.2708333333333333,0.1666666666666666,0.0208333333333333
return,direct_mode_CAR_count,32.0,min_carbon_metrics,93.0,min_time_metrics,51.4,22.650386310171402,32.0,37.0,37.0,58.0,93.0
return,direct_mode_CAR_proportion,0.3333333333333333,min_carbon_metrics,0.96875,min_time_metrics,0.5354166666666667,0.23594152406428542,0.3333333333333333,0.3854166666666667,0.3854166666666667,0.6041666666666666,0.96875
return,transit_mode_TRAM_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return,transit_mode_TRAM_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return,transit_mode_SUBWAY_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return,transit_mode_SUBWAY_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
return,transit_mode_BUS_count,1.0,min_cost_metrics,6.0,min_carbon_metrics,2.0,2.0,6.0,1.0,1.0,1.0,1.0
return,transit_mode_BUS_proportion,0.0104166666666666,min_cost_metrics,0.0625,min_carbon_metrics,0.02083333333333328,0.020833333333333363,0.0625,0.0104166666666666,0.0104166666666666,0.0104166666666666,0.0104166666666666
return,transit_mode_RAIL_count,1.0,min_cost_metrics,6.0,min_carbon_metrics,2.0,2.0,6.0,1.0,1.0,1.0,1.0
return,transit_mode_RAIL_proportion,0.0104166666666666,min_cost_metrics,0.0625,min_carbon_metrics,0.02083333333333328,0.020833333333333363,0.0625,0.0104166666666666,0.0104166666666666,0.0104166666666666,0.0104166666666666
combined,total_carbon_footprint,1117706.40418,min_carbon_metrics,2593223.5589300003,min_time_metrics,2041651.6711900004,492942.7058477117,1117706.40418,2123302.33007,2123257.74809,2250768.31468,2593223.5589300003
combined,total_cost,2821.0542337000006,min_cost_metrics,3391.9580367,min_time_metrics,3095.87350612,239.94125732192273,3358.8206639,2821.0542337000006,2866.7678826,3040.7667137000008,3391.9580367
combined,total_travel_time,10539.2,min_time_metrics,21373.516666666663,min_leg_metrics,18357.36,4095.6699973888403,20600.75,21271.55,21373.516666666663,18001.783333333344,10539.2
combined,total_legs,227.0,min_leg_metrics,554.0,min_carbon_metrics,299.4,127.4199356458792,554.0,234.0,227.0,244.0,238.0
combined,avg_legs_per_attendee,2.316326530612245,min_leg_metrics,5.653061224489796,min_carbon_metrics,3.055102040816327,1.300203424957951,5.653061224489796,2.3877551020408165,2.316326530612245,2.489795918367347,2.4285714285714284
combined,direct_mode_WALK_count,4.0,min_time_metrics,36.0,min_carbon_metrics,27.6,12.419339757008018,36.0,36.0,36.0,26.0,4.0
combined,direct_mode_WALK_proportion,0.0408163265306122,min_time_metrics,0.3673469387755102,min_carbon_metrics,0.28163265306122454,0.12672795670416348,0.3673469387755102,0.3673469387755102,0.3673469387755102,0.2653061224489796,0.0408163265306122
combined,direct_mode_BICYCLE_count,2.0,min_time_metrics,58.0,min_carbon_metrics,25.6,18.43474979488466,58.0,26.0,26.0,16.0,2.0
combined,direct_mode_BICYCLE_proportion,0.0204081632653061,min_time_metrics,0.5918367346938775,min_carbon_metrics,0.2612244897959184,0.18810969178453738,0.5918367346938775,0.2653061224489796,0.2653061224489796,0.1632653061224489,0.0204081632653061
combined,direct_mode_CAR_count,33.0,min_carbon_metrics,94.0,min_time_metrics,52.4,22.650386310171402,33.0,38.0,38.0,59.0,94.0
combined,direct_mode_CAR_proportion,0.336734693877551,min_carbon_metrics,0.9591836734693876,min_time_metrics,0.5346938775510204,0.23112639092011628,0.336734693877551,0.3877551020408163,0.3877551020408163,0.6020408163265306,0.9591836734693876
combined,transit_mode_TRAM_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,transit_mode_TRAM_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,transit_mode_SUBWAY_count,0.0,min_cost_metrics,1.0,min_carbon_metrics,0.2,0.4000000000000001,1.0,0.0,0.0,0.0,0.0
combined,transit_mode_SUBWAY_proportion,0.0,min_cost_metrics,0.010204081632653,min_carbon_metrics,0.0020408163265306,0.004081632653061199,0.010204081632653,0.0,0.0,0.0,0.0
combined,transit_mode_BUS_count,3.0,min_cost_metrics,36.0,min_carbon_metrics,10.6,12.784365451597509,36.0,3.0,3.0,7.0,4.0
combined,transit_mode_BUS_proportion,0.0306122448979591,min_cost_metrics,0.3673469387755102,min_carbon_metrics,0.10816326530612241,0.13045270868977052,0.3673469387755102,0.0306122448979591,0.0306122448979591,0.0714285714285714,0.0408163265306122
combined,transit_mode_RAIL_count,3.0,min_cost_metrics,36.0,min_carbon_metrics,10.2,12.921300244170475,36.0,3.0,3.0,5.0,4.0
combined,transit_mode_RAIL_proportion,0.0306122448979591,min_cost_metrics,0.3673469387755102,min_carbon_metrics,0.10408163265306118,0.1318500024915355,0.3673469387755102,0.0306122448979591,0.0306122448979591,0.0510204081632653,0.0408163265306122
combined,avg_carbon_per_attendee,11405.167389591836,min_carbon_metrics,26461.46488704082,min_time_metrics,20833.180318265302,5030.027610690936,11405.167389591836,21666.35030683673,21665.895388673467,22967.02361918367,26461.46488704082
combined,avg_cost_per_attendee,28.78626769081633,min_cost_metrics,34.61181670102041,min_time_metrics,31.59054598081633,2.448380176754315,34.27368024387755,28.78626769081633,29.252733495918367,31.028231772448983,34.61181670102041
combined,avg_travel_time_per_attendee,107.54285714285714,min_time_metrics,218.0971088435374,min_leg_metrics,187.32000000000002,41.79255099376368,210.2117346938776,217.05663265306123,218.0971088435374,183.6916666666668,107.54285714285714
