attendee_id,direction,routes_used
A00235,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Rotsterhaule - Heerenveen Busstation 8461', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00241,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Utrecht Centraal <-> Zwolle SPR5600 Sprinter', 'Zwolle - Nunspeet 305']"
A00243,departure,"['Delfzijl - Appingedam - Groningen - P+R Haren 6', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00244,departure,"['Best Station - Eindhoven Station 9', 'Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Oldenzaal via Ootmarsum - Almelo 64']"
A00260,departure,"['Assen - Groningen 51', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00265,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dokkum - Holwert - Leeuwarden 60', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00283,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Hoogeveen - Meppel 34', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00285,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Wijchen <-> Zutphen SPR7600 Sprinter', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A00297,departure,"['Best Station - Eindhoven Station 9', 'Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Overdinkel - Almelo 66', 'Zutphen <-> Oldenzaal ST31200 Stoptrein RS24']"
A00298,departure,"['Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Renesse - Spijkenisse Metro Centrum 104', 'Son - Ekkersrijt - Eindhoven Station 406', 'lijn D']"
A00310,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A00310,return,['Best Station - Eindhoven Station 9']
A00338,departure,"['Buurtbus Kreileroord - Schagen Station 416', 'Den Helder <-> Nijmegen IC3000 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00348,departure,['Best Station - Eindhoven Station 9']
A00357,departure,"['Assen - Leek 83', 'Dordrecht <-> Venlo IC3500 Intercity', 'Schiphol Airport <-> Groningen IC700 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00373,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Drachten - Oosterwolde - Assen 380', 'Heerenveen - Drachten - Groningen 324', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00399,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zernike - HS - Martini - Eelde 9']"
A00404,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwartsluis - Oldemarkt 70']"
A00417,departure,['Best Station - Eindhoven Station 9']
A00418,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Emmeloord - Zwolle 71', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00452,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Gersloot - Heerenveen Busstation 6661', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00460,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Groningen <-> Roodeschool ST37600 Stoptrein RS4', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Groningen SPR6100 Sprinter']"
A00476,departure,"['Bad Nieuweschans <-> Groningen ST37500 Stoptrein RS6', 'Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A00481,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Emmen - Groningen 300', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Emmen S3800 Sneltrein RE20']"
A00489,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Wyns - Leeuwarden Busstation 7751']"
