Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_carbon_metrics,min_cost_metrics,min_leg_metrics,min_time_metrics
total_carbon_footprint,934992.52471,min_carbon_metrics,1245447.50647,min_time_metrics,1031484.5369275,127290.68152080743,934992.52471,935191.79037,1010306.32616,1245447.50647
avg_carbon_footprint,9842.026575894735,min_carbon_metrics,13109.973752315793,min_time_metrics,10857.731967657895,1339.9019107453432,9842.026575894735,9844.124109157896,10634.803433263158,13109.973752315793
total_cost,2125.246484,min_cost_metrics,2783.46946825,min_time_metrics,2326.4348005624997,270.4179494522177,2126.34042,2125.246484,2270.68283,2783.46946825
avg_cost,22.371015621052635,min_cost_metrics,29.29967861315789,min_time_metrics,24.488787374342106,2.8465047310759743,22.382530736842103,22.371015621052635,23.90192452631579,29.29967861315789
total_travel_time,4933.583333333334,min_time_metrics,10742.250000000002,min_cost_metrics,8591.125,2304.805072997257,8317.466666666667,10742.250000000002,10371.2,4933.583333333334
avg_travel_time,51.93245614035089,min_time_metrics,113.0763157894737,min_cost_metrics,90.43289473684212,24.26110603155007,87.55228070175438,113.0763157894737,109.17052631578947,51.93245614035089
total_legs,114.0,min_leg_metrics,151.0,min_carbon_metrics,131.75,17.311484627264065,151.0,147.0,114.0,115.0
avg_legs_per_attendee,1.2,min_leg_metrics,1.5894736842105264,min_carbon_metrics,1.3868421052631579,0.1822261539712007,1.5894736842105264,1.5473684210526315,1.2,1.2105263157894737
direct_mode_WALK_count,2.0,min_time_metrics,38.0,min_cost_metrics,20.0,16.1245154965971,6.0,38.0,34.0,2.0
direct_mode_WALK_proportion,0.0210526315789473,min_time_metrics,0.4,min_cost_metrics,0.21052631578947364,0.16973174206944316,0.0631578947368421,0.4,0.3578947368421052,0.0210526315789473
direct_mode_BICYCLE_count,2.0,min_time_metrics,58.0,min_carbon_metrics,28.0,19.8997487421324,58.0,26.0,26.0,2.0
direct_mode_BICYCLE_proportion,0.0210526315789473,min_time_metrics,0.6105263157894737,min_carbon_metrics,0.29473684210526313,0.2094710393908674,0.6105263157894737,0.2736842105263158,0.2736842105263158,0.0210526315789473
direct_mode_CAR_count,31.0,min_carbon_metrics,91.0,min_time_metrics,47.0,25.45584412271571,31.0,31.0,35.0,91.0
direct_mode_CAR_proportion,0.3263157894736842,min_carbon_metrics,0.9578947368421052,min_time_metrics,0.49473684210526314,0.2679562539233233,0.3263157894736842,0.3263157894736842,0.3684210526315789,0.9578947368421052
transit_mode_TRAM_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_TRAM_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_SUBWAY_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_SUBWAY_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_BUS_count,2.0,min_leg_metrics,6.0,min_carbon_metrics,4.0,2.0,6.0,6.0,2.0,2.0
transit_mode_BUS_proportion,0.0210526315789473,min_leg_metrics,0.0631578947368421,min_carbon_metrics,0.042105263157894694,0.0210526315789474,0.0631578947368421,0.0631578947368421,0.0210526315789473,0.0210526315789473
transit_mode_RAIL_count,2.0,min_leg_metrics,6.0,min_carbon_metrics,4.0,2.0,6.0,6.0,2.0,2.0
transit_mode_RAIL_proportion,0.0210526315789473,min_leg_metrics,0.0631578947368421,min_carbon_metrics,0.042105263157894694,0.0210526315789474,0.0631578947368421,0.0631578947368421,0.0210526315789473,0.0210526315789473
