Metric,Min_Value,Min_File,Max_Value,Max_File,Average,Std_Dev,min_carbon_metrics,min_cost_metrics,min_leg_metrics,min_time_metrics
total_carbon_footprint,398575.09634,min_carbon_metrics,1212556.95244,min_time_metrics,747605.7533875001,358408.87736755284,398575.09634,398864.73129,980426.23348,1212556.95244
avg_carbon_footprint,4109.021611752577,min_carbon_metrics,12500.5871385567,min_time_metrics,7707.275808118557,3694.9368800778648,4109.021611752577,4112.007539072165,10107.486943092785,12500.5871385567
total_cost,1228.67846175,min_cost_metrics,2769.698079,min_time_metrics,1872.09643775,665.4693793058709,1235.38812525,1228.67846175,2254.621085,2769.698079
avg_cost,12.666788265463918,min_cost_metrics,28.55358844329897,min_time_metrics,19.299963275773194,6.86050906500898,12.735960054123712,12.666788265463918,23.243516340206185,28.55358844329897
total_travel_time,5847.216666666666,min_time_metrics,14468.383333333331,min_cost_metrics,10867.762499999999,3137.237058423626,11886.416666666668,14468.383333333331,11269.033333333333,5847.216666666666
avg_travel_time,60.28058419243986,min_time_metrics,149.1585910652921,min_cost_metrics,112.03878865979381,32.34265008684151,122.54037800687288,149.1585910652921,116.17560137457043,60.28058419243986
total_legs,147.0,min_leg_metrics,401.0,min_carbon_metrics,276.0,123.08127396155761,401.0,397.0,147.0,159.0
avg_legs_per_attendee,1.5154639175257731,min_leg_metrics,4.134020618556701,min_carbon_metrics,2.8453608247422677,1.2688791130057486,4.134020618556701,4.092783505154639,1.5154639175257731,1.6391752577319587
direct_mode_WALK_count,7.0,min_time_metrics,69.0,min_cost_metrics,37.75,21.947380253688593,36.0,69.0,39.0,7.0
direct_mode_WALK_proportion,0.0721649484536082,min_time_metrics,0.711340206185567,min_cost_metrics,0.38917525773195877,0.22626165209988242,0.3711340206185567,0.711340206185567,0.4020618556701031,0.0721649484536082
direct_mode_BICYCLE_count,2.0,min_time_metrics,58.0,min_carbon_metrics,27.5,19.956202043475106,58.0,25.0,25.0,2.0
direct_mode_BICYCLE_proportion,0.0206185567010309,min_time_metrics,0.5979381443298969,min_carbon_metrics,0.2835051546391752,0.20573404168531037,0.5979381443298969,0.2577319587628865,0.2577319587628865,0.0206185567010309
direct_mode_CAR_count,3.0,min_carbon_metrics,88.0,min_time_metrics,31.75,34.70860844228705,3.0,3.0,33.0,88.0
direct_mode_CAR_proportion,0.0309278350515463,min_carbon_metrics,0.9072164948453608,min_time_metrics,0.3273195876288659,0.3578207055905882,0.0309278350515463,0.0309278350515463,0.3402061855670103,0.9072164948453608
transit_mode_TRAM_count,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_TRAM_proportion,0.0,min_carbon_metrics,0.0,min_carbon_metrics,0.0,0.0,0.0,0.0,0.0,0.0
transit_mode_SUBWAY_count,0.0,min_leg_metrics,2.0,min_carbon_metrics,1.0,1.0,2.0,2.0,0.0,0.0
transit_mode_SUBWAY_proportion,0.0,min_leg_metrics,0.0206185567010309,min_carbon_metrics,0.01030927835051545,0.01030927835051545,0.0206185567010309,0.0206185567010309,0.0,0.0
transit_mode_BUS_count,6.0,min_leg_metrics,36.0,min_carbon_metrics,21.25,14.7542366796795,36.0,36.0,6.0,7.0
transit_mode_BUS_proportion,0.0618556701030927,min_leg_metrics,0.3711340206185567,min_carbon_metrics,0.21907216494845358,0.15210553278020109,0.3711340206185567,0.3711340206185567,0.0618556701030927,0.0721649484536082
transit_mode_RAIL_count,6.0,min_leg_metrics,36.0,min_carbon_metrics,21.25,14.7542366796795,36.0,36.0,6.0,7.0
transit_mode_RAIL_proportion,0.0618556701030927,min_leg_metrics,0.3711340206185567,min_carbon_metrics,0.21907216494845358,0.15210553278020109,0.3711340206185567,0.3711340206185567,0.0618556701030927,0.0721649484536082
